,CustomerId,Surname,Geography,Gender,Age,EstimatedSalary
0,15634602,Hargrave,France,Female,42,101348.88
1,15647311,Hill,Spain,Female,41,112542.58
2,15619304,Onio,France,Female,42,113931.57
3,15701354,Boni,France,Female,39,93826.63
4,15737888,Mitchell,Spain,Female,43,79084.1
5,15574012,Chu,Spain,Male,44,149756.71
6,15592531,Bartlett,France,Male,50,10062.8
7,15656148,Obinna,Germany,Female,29,119346.88
8,15792365,He,France,Male,44,74940.5
9,15592389,H?,France,Male,27,71725.73
10,15767821,Bearce,France,Male,31,80181.12
11,15737173,Andrews,Spain,Male,24,76390.01
12,15632264,Kay,France,Female,34,26260.98
13,15691483,Chin,France,Female,25,190857.79
14,15600882,Scott,Spain,Female,35,65951.65
15,15643966,Goforth,Germany,Male,45,64327.26
16,15737452,Romeo,Germany,Male,58,5097.67
17,15788218,Henderson,Spain,Female,24,14406.41
18,15661507,Muldrow,Spain,Male,45,158684.81
19,15568982,Hao,France,Female,24,54724.03
20,15577657,McDonald,France,Male,41,170886.17
21,15597945,Dellucci,Spain,Female,32,138555.46
22,15699309,Gerasimov,Spain,Female,38,118913.53
23,15725737,Mosman,France,Male,46,8487.75
24,15625047,Yen,France,Female,38,187616.16
25,15738191,Maclean,France,Male,25,124508.29
26,15736816,Young,Germany,Male,36,170041.95
27,15700772,Nebechi,France,Male,44,38433.35
28,15728693,McWilliams,Germany,Female,43,100187.43
29,15656300,Lucciano,France,Male,29,53483.21
30,15589475,Azikiwe,Spain,Female,39,140469.38
31,15706552,Odinakachukwu,France,Male,36,156731.91
32,15750181,Sanderson,Germany,Male,41,81898.81
33,15659428,Maggard,Spain,Female,42,34410.55
34,15732963,Clements,Spain,Female,29,142033.07
35,15794171,Lombardo,France,Female,45,27822.99
36,15788448,Watson,Spain,Male,31,114066.77
37,15729599,Lorenzo,Spain,Male,33,98453.45
38,15717426,Armstrong,France,Male,36,40812.9
39,15585768,Cameron,Germany,Male,41,178074.04
40,15619360,Hsiao,Spain,Male,40,70154.22
41,15738148,Clarke,France,Female,51,181297.65
42,15687946,Osborne,France,Female,61,94153.83
43,15755196,Lavine,France,Female,49,194365.76
44,15684171,Bianchi,Spain,Female,61,158338.39
45,15754849,Tyler,Germany,Female,32,126517.46
46,15602280,Martin,Germany,Female,27,119708.21
47,15771573,Okagbue,Germany,Female,39,117622.8
48,15766205,Yin,Germany,Male,38,90878.13
49,15771873,Buccho,Germany,Female,37,194099.12
50,15616550,Chidiebele,Germany,Male,44,198059.16
51,15768193,Trevisani,Germany,Male,36,86424.57
52,15683553,O'Brien,France,Female,33,116978.19
53,15702298,Parkhill,Germany,Male,41,164040.94
54,15569590,Yoo,Germany,Male,42,40014.76
55,15760861,Phillipps,France,Male,43,113410.49
